id,api,grade,afsc,aircraft,unit,state,location,conus
119,6,5,11F3Y,General,86 FIGHTER WEAPONS SQUADRON,FL,EGLIN,CONUS
120,6,3,11F3Y,General,53 WING,FL,EGLIN,CONUS
121,6,5,11F3Y,General,53 WING,FL,EGLIN,CONUS
122,6,5,11F3Y,General,OP FLT PRG CTF FLIGHT,FL,EGLIN,CONUS
123,3,3,12F3W,EWO,36 ELECTRONIC WARFARE SQUADRON,FL,EGLIN,CONUS
124,6,3,11F3Y,General,28 TEST AND EVALUATION SQUADRON,FL,EGLIN,CONUS
125,6,4,11F3Y,General,28 TEST AND EVALUATION SQUADRON,FL,EGLIN,CONUS
126,6,5,11F3Y,General,28 TEST AND EVALUATION SQUADRON,FL,EGLIN,CONUS
127,6,3,11F3Y,General,29 TRAINING SYSTEMS SQUADRON,FL,EGLIN,CONUS
128,6,5,11F3Y,General,29 TRAINING SYSTEMS SQUADRON,FL,EGLIN,CONUS
129,3,6,11F3Y,General,15 TEST FLIGHT,FL,EGLIN,CONUS
130,3,3,12F3Y,General,F-35 PARTNER SPT AFCOMS COMPLEX,FL,EGLIN,CONUS
131,3,4,12F3Y,General,F-35 PARTNER SPT AFCOMS COMPLEX,FL,EGLIN,CONUS
132,1,3,11F3H,F-16,85 TEST AND EVALUATION SQUADRON,FL,EGLIN,CONUS
133,6,4,11F3F,F-15,85 TEST AND EVALUATION SQUADRON,FL,EGLIN,CONUS
134,6,5,11F3Y,General,85 TEST AND EVALUATION SQUADRON,FL,EGLIN,CONUS
135,1,3,11F3H,F-16,40 FLIGHT TEST SQUADRON,FL,EGLIN,CONUS
136,6,5,12F3Y,General,AF SEEK EAGLE OFFICE,FL,EGLIN,CONUS
137,6,5,11F3B,A-10,96 OPERATIONS GROUP,FL,EGLIN,CONUS
138,8,4,11F4Y,General,AF MATERIEL COMMAND (DET 1),FL,EGLIN,CONUS
139,3,4,11F3F,F-15,AFELM JCS MCA - OTHER JCS ACTIVITY (OL 26G),FL,EGLIN AFB,CONUS
140,3,3,12F3Y,General,505 TRAINING SQUADRON,FL,HURLBURT FIELD,CONUS
141,3,3,12F3F,F-15E WSO,705 TRAINING SQUADRON,FL,HURLBURT FIELD,CONUS
142,3,4,11F3Y,General,705 TRAINING SQUADRON,FL,HURLBURT FIELD,CONUS
143,3,5,11F3Y,General,705 TRAINING SQUADRON,FL,HURLBURT FIELD,CONUS
144,3,4,12F3Y,General,505 COMBAT TRAINING SQUADRON,FL,HURLBURT FIELD,CONUS
145,8,6,11F4Y,General,ANG READINESS - FOA (OL FLHF),FL,HURLBURT FIELD,CONUS
146,1,2,11F3H,F-16,18 AGGRESSOR SQUADRON,AK,EIELSON,CONUS
147,1,3,11F3H,F-16,18 AGGRESSOR SQUADRON,AK,EIELSON,CONUS
148,1,4,11F3H,F-16,18 AGGRESSOR SQUADRON,AK,EIELSON,CONUS
149,6,5,11F3H,F-16,18 AGGRESSOR SQUADRON,AK,EIELSON,CONUS
150,6,3,11F3N,F-35,354 FIGHTER WING,AK,EIELSON,CONUS
